combined_FIPS,NAMELSAD,election_year,pct_developed_2013,pct_suburban_2013,pct_forest_2013,pct_undeveloped_2013,pct_agri_2013
31039,Cuming County,2012,0.042713191,0.04113007,0.022548966,0.102072627,0.854436337
53069,Wahkiakum County,2012,0.065762667,0.064136256,0.566878446,0.901680231,0.030346548
35011,De Baca County,2012,0.004197594,0.004055675,0.000745413,0.988912967,0.006800198
31109,Lancaster County,2012,0.13540198,0.095861514,0.052498672,0.292155162,0.571980927
31129,Nuckolls County,2012,0.037718792,0.03660922,0.030667247,0.355005566,0.607131943
46099,Minnehaha County,2012,0.108788841,0.083642889,0.014053513,0.062813961,0.826299354
48327,Menard County,2012,0.008680618,0.008333362,0.009986777,0.984769318,0.006543127
6091,Sierra County,2012,0.014830634,0.014380383,0.639857229,0.982908656,0.00200758
21053,Clinton County,2012,0.064228759,0.058189228,0.555615764,0.566833788,0.364774316
39063,Hancock County,2012,0.105834187,0.088192426,0.066893729,0.073288777,0.81980748
48189,Hale County,2012,0.048108572,0.044604973,0.000169445,0.280447723,0.670673404
1027,Clay County,2012,0.042192845,0.041242416,0.770789489,0.858186406,0.098804369
48011,Armstrong County,2012,0.015575101,0.015404634,0.072796181,0.798628097,0.1821777
39003,Allen County,2012,0.175137552,0.144872287,0.085228994,0.094903142,0.729475987
13189,McDuffie County,2012,0.073647713,0.066283481,0.688113237,0.778058709,0.14415145
55111,Sauk County,2012,0.06906986,0.061308461,0.412541171,0.439158444,0.491059511
5137,Stone County,2012,0.039172937,0.038180259,0.771025048,0.809846078,0.148043646
41063,Wallowa County,2012,0.005589776,0.005431588,0.47082452,0.942952688,0.030320828
42007,Beaver County,2012,0.216355344,0.171374912,0.607423964,0.620301307,0.161791197
28061,Jasper County,2012,0.039813924,0.038178421,0.723069725,0.868797795,0.090707124
29083,Henry County,2012,0.045858169,0.042328965,0.259714556,0.302175935,0.649209689
8109,Saguache County,2012,0.005687981,0.005316546,0.390953011,0.938867725,0.046892529
37037,Chatham County,2012,0.076233058,0.071289394,0.687771437,0.747595533,0.174854221
49033,Rich County,2012,0.009278728,0.009050369,0.14086957,0.904983666,0.085685429
40001,Adair County,2012,0.041717805,0.03965053,0.595590658,0.631331709,0.326385092
39085,Lake County,2012,0.479935863,0.409001355,0.348874111,0.383284281,0.133277461
51775,Salem city,2012,0.858412336,0.536246347,0.112243686,0.114358353,0.027110509
51121,Montgomery County,2012,0.13276742,0.107104125,0.620234683,0.644618084,0.221717316
47065,Hamilton County,2012,0.307619293,0.25086497,0.519254147,0.554826474,0.136497439
35035,Otero County,2012,0.00696542,0.006422184,0.169694172,0.960117485,0.000831819
35003,Catron County,2012,0.002940825,0.002863636,0.466697716,0.995040963,1.88E-05
1091,Marengo County,2012,0.034107914,0.032031425,0.668372665,0.79582518,0.168498171
56023,Lincoln County,2012,0.007109094,0.006818106,0.235983337,0.951327631,0.031694393
29011,Barton County,2012,0.042955309,0.041049681,0.146122257,0.151319586,0.804977178
48057,Calhoun County,2012,0.060694178,0.048781974,0.040823159,0.445443024,0.476154709
51735,Poquoson city,2012,0.30145355,0.27711069,0.206867495,0.690190296,0.00440044
54075,Pocahontas County,2012,0.035386923,0.034312295,0.900514054,0.912550556,0.047688939
48077,Clay County,2012,0.025574291,0.023733247,0.053086954,0.854700836,0.115447478
51095,James City County,2012,0.210427988,0.181196112,0.632408362,0.707876469,0.080314139
31101,Keith County,2012,0.0246679,0.023510575,0.019071616,0.6479202,0.322146513
31137,Phelps County,2012,0.046224912,0.044018781,0.011289893,0.129745744,0.823542461
22019,Calcasieu Parish,2012,0.148590239,0.120579832,0.366900375,0.505153567,0.344269885
22111,Union Parish,2012,0.049700571,0.047926088,0.783693601,0.905259945,0.043841055
40135,Sequoyah County,2012,0.048229348,0.043637767,0.504798138,0.536998367,0.413066327
1049,DeKalb County,2012,0.088147039,0.080537494,0.444948519,0.497099108,0.413817908
36101,Steuben County,2012,0.065992423,0.061687417,0.611988469,0.622782135,0.30988768
42053,Forest County,2012,0.038110023,0.037588213,0.889305505,0.932711775,0.028628715
22105,Tangipahoa Parish,2012,0.096869894,0.085980771,0.554489398,0.712662863,0.185805945
51179,Stafford County,2012,0.175782584,0.151224552,0.681937228,0.723309582,0.096778973
26109,Menominee County,2012,0.045911848,0.043051628,0.801662386,0.840066158,0.11182927
18073,Jasper County,2012,0.063959655,0.056352127,0.10137281,0.116752531,0.818525384
13025,Brantley County,2012,0.050384951,0.049010404,0.694114128,0.890174489,0.057849678
13171,Lamar County,2012,0.078283245,0.071662849,0.595473726,0.671873549,0.247105235
18151,Steuben County,2012,0.101674066,0.085968123,0.275147695,0.28862381,0.608643691
48361,Orange County,2012,0.204892188,0.173387354,0.463450271,0.641100438,0.151672461
39047,Fayette County,2012,0.06148082,0.05338216,0.051165964,0.053036334,0.885116477
25015,Hampshire County,2012,0.111723746,0.090885535,0.782291795,0.798323263,0.088120786
21003,Allen County,2012,0.058312957,0.055143895,0.502027918,0.51986998,0.421179631
37001,Alamance County,2012,0.180535401,0.152517695,0.471694597,0.517740776,0.301169588
